,Ref.,Nome,Co,Fe,Ni,Si,Al,Cr,Mo,Nb,Ti,C,V,Zr,Mn,Cu,B,Y,Sn,Li,Mg,Zn,Sc,Hf,Ta,W,atomic radius difference(δ) [%],Electro negativity difference (Δχ),Valence electron concentration (VEC),Ω parameter,Entalpia de mix (dHmix) [kJ/mol],Entropia de mix (dSmix) [J/K.mol],Melting temperature (Tm) [K],...,Type of phases,Obs*,Synthesis,As cast/Homogenized,Homog. Temperature [°C],Homog. tempo [h],Cold/Hot Working,Metal working obs.,Heat treatment,temperatura de pico [°C],tempo de pico [h],taxa de resfriamento [°C/min],meio de resfriamento,grain size [μm],obs*,density (g/cm3),density ROM (g/cm3),HV,obs dureza,Type of tests,testing temperature [°C],YS (MPa),UTS (MPa),e (%),E (GPa),...,Obs,Magnetização de saturação (Ms) [emu/g],Coercividade (Hc) [Oe],Permeabilidade (μ) [],Electrical resistivity [μΩ cm],...,Obs,eletrólito,Contraeletrodo,Referência,Ecorr [V],Icorr [A/cm²],Epit [V],...,Obs
,33,Al1.5CoCrCuFeNi,15.38461538,15.38461538,15.38461538,,23.07692308,15.38461538,,,,,,,,15.38461538,,,,,,,,,,,,,,,,,,,FCC + BCC,,Arc melting,As cast,,,,,,,,,,,,6.6,,506,,,,,,,133,,,,,,,,,,,,,,,,
,33,Al1.8CoCrCuFeNi,14.70588235,14.70588235,14.70588235,,26.47058824,14.70588235,,,,,,,,14.70588235,,,,,,,,,,,,,,,,,,,FCC + BCC,,Arc melting,As cast,,,,,,,,,,,,6.4,,650,,,,,,,170,,,,,,,,,,,,,,,,
,33,Al2CoCrCuFeNi,14.28571429,14.28571429,14.28571429,,28.57142857,14.28571429,,,,,,,,14.28571429,,,,,,,,,,,,,,,,,,,FCC + BCC,,Arc melting,As cast,,,,,,,,,,,,6.3,,560,,C,,1620,,,167,,,,,,,,,,,,,,,,
,33,Al2.3CoCrCuFeNi,13.69863014,13.69863014,13.69863014,,31.50684932,13.69863014,,,,,,,,13.69863014,,,,,,,,,,,,,,,,,,,FCC + BCC,,Arc melting,As cast,,,,,,,,,,,,6.1,,600,,,,,,,163,,,,,,,,,,,,,,,,
,33,Al2.5CoCrCuFeNi,13.33333333,13.33333333,13.33333333,,33.33333333,13.33333333,,,,,,,,13.33333333,,,,,,,,,,,,,,,,,,,FCC + BCC,,Arc melting,As cast,,,,,,,,,,,,6.0,,620,,,,,,,161,,,,,,,,,,,,,,,,
,33,Al2.8CoCrCuFeNi,12.82051282,12.82051282,12.82051282,,35.8974359,12.82051282,,,,,,,,12.82051282,,,,,,,,,,,,,,,,,,,BCC,,Arc melting,As cast,,,,,,,,,,,,5.8,,650,,,,,,,157,,,,,,,,,,,,,,,,
,33,Al3CoCrCuFeNi,12.5,12.5,12.5,,37.5,12.5,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,BCC,,Arc melting,As cast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,CoCrCuFeNi,20,20,20,,,20,,,,,,,,20,,,,,,,,,,,,,,,,,,,FCC,,Arc melting,As cast,,,,,,,,,,,,,,,,C,RT,230,888,50,56,,,1.505,,,,,paramagnetic,,,,,,,,
,34,CoCrCuFeNiTi0.5,18.18181818,18.18181818,18.18181818,,,18.18181818,,,9.090909091,,,,,18.18181818,,,,,,,,,,,,,,,,,,,FCC,,Arc melting,As cast,,,,,,,,,,,,7.8,,,,C,RT,700,1650,22,99,,,0.333,,,,,paramagnetic,,,,,,,,
,34,CoCrCuFeNiTi0.8,17.24137931,17.24137931,17.24137931,,,17.24137931,,,13.79310345,,,,,17.24137931,,,,,,,,,,,,,,,,,,,FCC + Im,Im: Laves,Arc melting,As cast,,,,,,,,,,,,7.6,,,,C,RT,1042,1848,2,128,,,1.368,,,,,superparamagnetic,,,,,,,,
,34,CoCrCuFeNiTi,16.66666667,16.66666667,16.66666667,,,16.66666667,,,16.66666667,,,,,16.66666667,,,,,,,,,,,,,,,,,,,FCC+ Im,Im: Laves,Arc melting,As cast,,,,,,,,,,,,7.4,,,,C,RT,1272,1272,0,77,,,1.511,,,,,superparamagnetic,,,,,,,,
,37,Al0.5CoCrCuFeNi,18.18181818,18.18181818,18.18181818,,9.090909091,18.18181818,,,,,,,,18.18181818,,,,,,,,,,,,,,,,,,,FCC,,Arc melting,As cast,,,,,,,,,,,,7.6,,225,"HV5, RT",,,,,,193,,,,,,,,,,,,,,,,
,37,Al0.5CoCrCuFeNiTi0.2,17.54385965,17.54385965,17.54385965,,8.771929825,17.54385965,,,3.50877193,,,,,17.54385965,,,,,,,,,,,,,,,,,,,FCC,,Arc melting,As cast,,,,,,,,,,,,7.5,,272,"HV5, RT",,,,,,191,,,,,,,,,,,,,,,,
,37,Al0.5CoCrCuFeNiTi0.4,16.94915254,16.94915254,16.94915254,,8.474576271,16.94915254,,,6.779661017,,,,,16.94915254,,,,,,,,,,,,,,,,,,,FCC,,Arc melting,As cast,,,,,,,,,,,,7.3,,321,"HV5, RT",,,,,,188,,,,,,,,,,,,,,,,
,37,Al0.5CoCrCuFeNiTi0.6,16.39344262,16.39344262,16.39344262,,8.196721311,16.39344262,,,9.836065574,,,,,16.39344262,,,,,,,,,,,,,,,,,,,FCC + BCC,,Arc melting,As cast,,,,,,,,,,,,7.2,,458,"HV5, RT",,,,,,186,,,,,,,,,,,,,,,,
,37,Al0.5CoCrCuFeNiTi0.8,15.87301587,15.87301587,15.87301587,,7.936507937,15.87301587,,,12.6984127,,,,,15.87301587,,,,,,,,,,,,,,,,,,,FCC + BCC,,Arc melting,As cast,,,,,,,,,,,,7.1,,590,"HV5, RT",,,,,,184,,,,,,,,,,,,,,,,
,37,Al0.5CoCrCuFeNiTi,15.38461538,15.38461538,15.38461538,,7.692307692,15.38461538,,,15.38461538,,,,,15.38461538,,,,,,,,,,,,,,,,,,,FCC + BCC + Im,Im: sigma phase,Arc melting,As cast,,,,,,,,,,,,7.0,,636,"HV5, RT",,,,,,,,,,,,,,,,,,,,,,
,37,Al0.5CoCrCuFeNiTi1.2,14.92537313,14.92537313,14.92537313,,7.462686567,14.92537313,,,17.91044776,,,,,14.92537313,,,,,,,,,,,,,,,,,,,FCC + BCC + Im,Im: sigma phase,Arc melting,As cast,,,,,,,,,,,,6.9,,646,"HV5, RT",,,,,,,,,,,,,,,,,,,,,,
,37,Al0.5CoCrCuFeNiTi1.4,14.49275362,14.49275362,14.49275362,,7.246376812,14.49275362,,,20.28985507,,,,,14.49275362,,,,,,,,,,,,,,,,,,,FCC + BCC + Im,Im: Ti2Ni-like phase,Arc melting,As cast,,,,,,,,,,,,6.8,,664,"HV5, RT",,,,,,,,,,,,,,,,,,,,,,
,37,Al0.5CoCrCuFeNiTi1.6,14.08450704,14.08450704,14.08450704,,7.042253521,14.08450704,,,22.53521127,,,,,14.08450704,,,,,,,,,,,,,,,,,,,FCC + BCC + Im,Im: Ti2Ni-like phase,Arc melting,As cast,,,,,,,,,,,,6.7,,657,"HV5, RT",,,,,,,,,,,,,,,,,,,,,,
,37,Al0.5CoCrCuFeNiTi1.8,13.69863014,13.69863014,13.69863014,,6.849315068,13.69863014,,,24.65753425,,,,,13.69863014,,,,,,,,,,,,,,,,,,,FCC + BCC + Im,Im: Ti2Ni-like phase,Arc melting,As cast,,,,,,,,,,,,6.6,,667,"HV5, RT",,,,,,,,,,,,,,,,,,,,,,
,37,Al0.5CoCrCuFeNiTi2,13.33333333,13.33333333,13.33333333,,6.666666667,13.33333333,,,26.66666667,,,,,13.33333333,,,,,,,,,,,,,,,,,,,FCC + BCC + Im,Im: Ti2Ni-like phase,Arc melting,As cast,,,,,,,,,,,,6.5,,696,"HV5, RT",,,,,,,,,,,,,,,,,,,,,,
,38,Al0.5CoCrCuFeNi,18.18181818,18.18181818,18.18181818,,9.090909091,18.18181818,,,,,,,,18.18181818,,,,,,,,,,,,,,,,,,,FCC,,Arc melting,As cast,,,,,,,,,,,,7.6,,215,"HV5, RT",,,,,,193,,,,,,,,,,,,,,,,
,38,Al0.5CoCrCuFeNiV0.2,17.54385965,17.54385965,17.54385965,,8.771929825,17.54385965,,,,,3.50877193,,,17.54385965,,,,,,,,,,,,,,,,,,,FCC,,Arc melting,As cast,,,,,,,,,,,,7.6,,204,"HV5, RT",,,,,,191,,,,,,,,,,,,,,,,
,38,Al0.5CoCrCuFeNiV0.4,16.94915254,16.94915254,16.94915254,,8.474576271,16.94915254,,,,,6.779661017,,,16.94915254,,,,,,,,,,,,,,,,,,,FCC + BCC,,Arc melting,As cast,,,,,,,,,,,,7.5,,231,"HV5, RT",,,,,,189,,,,,,,,,,,,,,,,
,38,Al0.5CoCrCuFeNiV0.6,16.39344262,16.39344262,16.39344262,,8.196721311,16.39344262,,,,,9.836065574,,,16.39344262,,,,,,,,,,,,,,,,,,,FCC + BCC + Im,Im: sigma phase,Arc melting,As cast,,,,,,,,,,,,7.5,,328,"HV5, RT",,,,,,,,,,,,,,,,,,,,,,
,38,Al0.5CoCrCuFeNiV0.8,15.87301587,15.87301587,15.87301587,,7.936507937,15.87301587,,,,,12.6984127,,,15.87301587,,,,,,,,,,,,,,,,,,,FCC + BCC + Im,Im: sigma phase,Arc melting,As cast,,,,,,,,,,,,7.4,,447,"HV5, RT",,,,,,,,,,,,,,,,,,,,,,
,38,Al0.5CoCrCuFeNiV1.0,15.38461538,15.38461538,15.38461538,,7.692307692,15.38461538,,,,,15.38461538,,,15.38461538,,,,,,,,,,,,,,,,,,,FCC + BCC + Im,Im: sigma phase,Arc melting,As cast,,,,,,,,,,,,7.4,,639,"HV5, RT",,,,,,,,,,,,,,,,,,,,,,
,38,Al0.5CoCrCuFeNiV1.2,14.92537313,14.92537313,14.92537313,,7.462686567,14.92537313,,,,,17.91044776,,,14.92537313,,,,,,,,,,,,,,,,,,,BCC,,Arc melting,As cast,,,,,,,,,,,,7.3,,579,"HV5, RT",,,,,,182,,,,,,,,,,,,,,,,
,38,Al0.5CoCrCuFeNiV1.4,14.49275362,14.49275362,14.49275362,,7.246376812,14.49275362,,,,,20.28985507,,,14.49275362,,,,,,,,,,,,,,,,,,,BCC,,Arc melting,As cast,,,,,,,,,,,,7.3,,577,"HV5, RT",,,,,,180,,,,,,,,,,,,,,,,
,38,Al0.5CoCrCuFeNiV1.6,14.08450704,14.08450704,14.08450704,,7.042253521,14.08450704,,,,,22.53521127,,,14.08450704,,,,,,,,,,,,,,,,,,,BCC,,Arc melting,As cast,,,,,,,,,,,,7.2,,594,"HV5, RT",,,,,,179,,,,,,,,,,,,,,,,
,38,Al0.5CoCrCuFeNiV1.8,13.69863014,13.69863014,13.69863014,,6.849315068,13.69863014,,,,,24.65753425,,,13.69863014,,,,,,,,,,,,,,,,,,,BCC,,Arc melting,As cast,,,,,,,,,,,,7.2,,597,"HV5, RT",,,,,,177,,,,,,,,,,,,,,,,
,38,Al0.5CoCrCuFeNiV2.0,13.33333333,13.33333333,13.33333333,,6.666666667,13.33333333,,,,,26.66666667,,,13.33333333,,,,,,,,,,,,,,,,,,,BCC,,Arc melting,As cast,,,,,,,,,,,,7.2,,587,"HV5, RT",,,,,,176,,,,,,,,,,,,,,,,
,39,AlCoCuFeNiCr,16.66666667,16.66666667,16.66666667,,16.66666667,16.66666667,,,,,,,,16.66666667,,,,,,,,,,,4.83,0.151,7.84,,-4.78,,,,FCC + BCC,,Arc melting,As cast,,,,,,,,,,,,7.1,,472,"HV0.2, RT",C,RT,,1510,16,184,,,,,,,,,,,,,,,,
,39,AlCoCuFeNi,20,20,20,,20,,,,,,,,,20,,,,,,,,,,,5.24,0.154,8.2,,-5.28,,,,FCC + BCC,,Arc melting,As cast,,,,,,,,,,,,7.0,,536,"HV0.2, RT",C,RT,,1330,9,164,,,,,,,,,,,,,,,,
,39,AlCoCuFeNiSi,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,,,,,,,,,16.66666667,,,,,,,,,,,4.83,0.141,7.5,,-20.45,,,,FCC + BCC,,Arc melting,As cast,,,,,,,,,,,,5.9,,680,"HV0.2, RT",C,RT,,1930,10,145,,,,,,,,,,,,,,,,
,39,AlCoCuFeNiTi,16.66666667,16.66666667,16.66666667,,16.66666667,,,,16.66666667,,,,,16.66666667,,,,,,,,,,,6.58,0.172,7.5,,-16.9,,,,FCC + BCC,,Arc melting,As cast,,,,,,,,,,,,6.5,,625,"HV0.2, RT",C,RT,,1660,11,156,,,,,,,,,,,,,,,,
,39,AlCoCuFeNiZr,16.66666667,16.66666667,16.66666667,,16.66666667,,,,,,,16.66666667,,16.66666667,,,,,,,,,,,9.59,0.226,7.5,,-23.9,,,,FCC + BCC + Im,Im: ZrFe3Al,Arc melting,As cast,,,,,,,,,,,,6.9,,472,"HV0.2, RT",C,RT,,105,,162,,,,,,,,,,,,,,,,
,40,AlCoCrCuFeNi,16.66666667,16.66666667,16.66666667,,16.66666667,16.66666667,,,,,,,,16.66666667,,,,,,,,,,,,,,,,,,,FCC + BCC,,Arc melting,As cast,,,,,,,,,,,,7.1,,,,C,RT,1303,2081,24,183,,UTS = Fracture,,,,,,,,,,,,,,
,40,AlCoCrCuFeNiMn,14.28571429,14.28571429,14.28571429,,14.28571429,14.28571429,,,,,,,14.28571429,14.28571429,,,,,,,,,,,,,,,,,,,FCC + BCC + Im,Im: Cr-rich phase,Arc melting,As cast,,,,,,,,,,,,7.1,,,,C,RT,1005,1480,15,,,UTS = Fracture,,,,,,,,,,,,,,
,40,AlCoCrCuFeNiTi,14.28571429,14.28571429,14.28571429,,14.28571429,14.28571429,,,14.28571429,,,,,14.28571429,,,,,,,,,,,,,,,,,,,FCC + BCC1 + BCC2,,Arc melting,As cast,,,,,,,,,,,,6.6,,,,C,RT,1234,1356,9,174,,UTS = Fracture,,,,,,,,,,,,,,
,40,AlCoCrCuFeNiV,14.28571429,14.28571429,14.28571429,,14.28571429,14.28571429,,,,,14.28571429,,,14.28571429,,,,,,,,,,,,,,,,,,,FCC + BCC,,Arc melting,As cast,,,,,,,,,,,,6.9,,,,C,RT,1469,1970,16,175,,UTS = Fracture,,,,,,,,,,,,,,
,42,AlCoCrCuNiTi,16.66666667,,16.66666667,,16.66666667,16.66666667,,,16.66666667,,,,,16.66666667,,,,,,,,,,,,,,,,,,,BCC,,Arc melting,As cast,,,,,,,,,,,,6.4,,,,C,,,1495,8,35.5,,,,,,,,,,,,,,,,
,42,AlCoCrCuNiTiY0.5,15.38461538,,15.38461538,,15.38461538,15.38461538,,,15.38461538,,,,,15.38461538,,7.692307692,,,,,,,,,,,,,,,,,Im,,Arc melting,As cast,,,,,,,,,,,,6.1,,,,C,,,1025,3,35.8,,,,,,,,,,,,,,,,
,42,AlCoCrCuNiTiY0.8,14.70588235,,14.70588235,,14.70588235,14.70588235,,,14.70588235,,,,,14.70588235,,11.76470588,,,,,,,,,,,,,,,,,Im,,Arc melting,As cast,,,,,,,,,,,,5.9,,,,C,,,1325,5,37.7,,,,,,,,,,,,,,,,
,42,AlCoCrCuNiTiY,14.28571429,,14.28571429,,14.28571429,14.28571429,,,14.28571429,,,,,14.28571429,,14.28571429,,,,,,,,,,,,,,,,,Im,,Arc melting,As cast,,,,,,,,,,,,5.8,,,,C,,,1192,4,37,,,,,,,,,,,,,,,,
,43,CoCuFeNi,25,25,25,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,FCC,,Arc melting,As cast,,,,,,,,,,,,8.6,,,,T,RT,,480,15,188,,,,,,,,,,,,,,,,
,43,CoCuFeNiSn0.02,24.87562189,24.87562189,24.87562189,,,,,,,,,,,24.87562189,,,0.4975124378,,,,,,,,,,,,,,,,FCC,,Arc melting,As cast,,,,,,,,,,,,8.6,,,,T,RT,,548,17,187,,,,,,,,,,,,,,,,
,43,CoCuFeNiSn0.04,24.75247525,24.75247525,24.75247525,,,,,,,,,,,24.75247525,,,0.9900990099,,,,,,,,,,,,,,,,FCC,,Arc melting,As cast,,,,,,,,,,,,8.6,,,,T,RT,,594,18,,,,,,,,,,,,,,,,,
,43,CoCuFeNiSn0.05,24.69135802,24.69135802,24.69135802,,,,,,,,,,,24.69135802,,,1.234567901,,,,,,,,,,,,,,,,FCC + Im,Im: Cu81Sn22,Arc melting,As cast,,,,,,,,,,,,8.6,,,,T,RT,,615,20,,,,,,,,,,,,,,,,,
,43,CoCuFeNiSn0.07,24.57002457,24.57002457,24.57002457,,,,,,,,,,,24.57002457,,,1.71990172,,,,,,,,,,,,,,,,FCC + Im,Im: Cu81Sn22,Arc melting,As cast,,,,,,,,,,,,8.6,,,,T,RT,,632,19,,,,,,,,,,,,,,,,,
,43,CoCuFeNiSn0.1,24.3902439,24.3902439,24.3902439,,,,,,,,,,,24.3902439,,,2.43902439,,,,,,,,,,,,,,,,FCC + Im,Im: Cu81Sn22,Arc melting,As cast,,,,,,,,,,,,8.6,,,,T,RT,,602,5,,,,,,,,,,,,,,,,,
,43,CoCuFeNiSn0.2,23.80952381,23.80952381,23.80952381,,,,,,,,,,,23.80952381,,,4.761904762,,,,,,,,,,,,,,,,FCC + Im,Im: Cu81Sn22,Arc melting,As cast,,,,,,,,,,,,8.5,,,,T,RT,,261,2,,,,,,,,,,,,,,,,,
,43,CoCuFeNiSn0.5,22.22222222,22.22222222,22.22222222,,,,,,,,,,,22.22222222,,,11.11111111,,,,,,,,,,,,,,,,FCC + Im,Im: Cu81Sn22,Arc melting,As cast,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,
,44,CoCuFeMnNi,20,20,20,,,,,,,,,,20,20,,,,,,,,,,,,,,,,,,,FCC,,Arc melting,As cast,,,,,,,,,,,,8.4,,208,"HV0.25, RT",T,RT,,478,14,190,,,,,,,,,,,,,,,,
,44,CoCuFeMnNiSn0.03,19.88071571,19.88071571,19.88071571,,,,,,,,,,19.88071571,19.88071571,,,0.5964214712,,,,,,,,,,,,,,,,FCC,,Arc melting,As cast,,,,,,,,,,,,8.4,,192,"HV0.25, RT",T,RT,,465,18,,,,,,,,,,,,,,,,,
,44,CoCuFeMnNiSn0.05,19.8019802,19.8019802,19.8019802,,,,,,,,,,19.8019802,19.8019802,,,0.9900990099,,,,,,,,,,,,,,,,FCC + Im,Im: Cu5.6Sn,Arc melting,As cast,,,,,,,,,,,,8.4,,205,"HV0.25, RT",T,RT,,475,12,,,,,,,,,,,,,,,,,
,44,CoCuFeMnNiSn0.08,19.68503937,19.68503937,19.68503937,,,,,,,,,,19.68503937,19.68503937,,,1.57480315,,,,,,,,,,,,,,,,FCC + Im,Im: Cu5.6Sn,Arc melting,As cast,,,,,,,,,,,,8.3,,219,"HV0.25, RT",T,RT,,425,7,,,,,,,,,,,,,,,,,
,44,CoCuFeMnNiSn0.10,19.60784314,19.60784314,19.60784314,,,,,,,,,,19.60784314,19.60784314,,,1.960784314,,,,,,,,,,,,,,,,FCC + Im,Im: Cu5.6Sn,Arc melting,As cast,,,,,,,,,,,,8.3,,253,"HV0.25, RT",T,RT,,470,6,,,,,,,,,,,,,,,,,
,44,CoCuFeMnNiSn0.20,19.23076923,19.23076923,19.23076923,,,,,,,,,,19.23076923,19.23076923,,,3.846153846,,,,,,,,,,,,,,,,FCC + Im,Im: Cu5.6Sn,Arc Melting,As cast,,,,,,,,,,,,8.3,,319,"HV0,25, RT",T,RT,,368,2,,,,,,,,,,,,,,,,,
,45,CoCrCuFeNi,20,20,20,,,20,,,,,,,,20,,,,,,,,,,,,,,,,,,,FCC,,Arc Melting,Homogenized,650,4,,,,,,,,,,8.3,,286,,C,RT,230,888,51,56,,,,,,,,,,,,,,,,
,45,AlCrCuFeNi0.6,,21.73913043,13.04347826,,21.73913043,21.73913043,,,,,,,,21.73913043,,,,,,,,,,,,,,,,,,,FCC + BCC + Im,Im: AlFe0.23Ni0.77,Arc Melting,Homogenized,650,4,,,,,,,,,,6.6,,496,"HV5, RT",C,RT,,2054,2.9,176,,taken from the graphic,,,,,,,,,,,,,,
,45,AlCrCuFeNi0.8,,20.83333333,16.66666667,,20.83333333,20.83333333,,,,,,,,20.83333333,,,,,,,,,,,,,,,,,,,FCC + BCC + Im,Im: AlFe0.23Ni0.77,Arc Melting,Homogenized,650,4,,,,,,,,,,6.7,,486,"HV5, RT",C,RT,,2033,"4,6",177,,taken from the graphic,,,,,,,,,,,,,,
,45,AlCrCuFeNi,,20,20,,20,20,,,,,,,,20,,,,,,,,,,,,,,,,,,,FCC + BCC + Im,Im: AlFe0.23Ni0.77,Arc Melting,Homogenized,650,4,,,,,,,,,,6.8,,495,"HV5, RT",C,RT,,1777,"1,9",178,,taken from the graphic,,,,,,,,,,,,,,
,45,AlCrCuFeNi1.2,,19.23076923,23.07692308,,19.23076923,19.23076923,,,,,,,,19.23076923,,,,,,,,,,,,,,,,,,,FCC + BCC + Im,Im: AlFe0.23Ni0.77,Arc Melting,Homogenized,650,4,,,,,,,,,,6.8,,407,"HV5, RT",C,RT,,1277,"1,4",179,,taken from the graphic,,,,,,,,,,,,,,
,45,AlCrCuFeNi1.4,,18.51851852,25.92592593,,18.51851852,18.51851852,,,,,,,,18.51851852,,,,,,,,,,,,,,,,,,,FCC + BCC + Im,Im: AlFe0.23Ni0.77,Arc Melting,Homogenized,650,4,,,,,,,,,,6.9,,367,"HV5, RT",C,RT,,1685,"2,2",180,,taken from the graphic,-,,,,,,,,,,,,,
,46,AlCrCuFeNi2,,16.66666667,33.33333333,,16.66666667,16.66666667,,,,,,,,16.66666667,,,,,,,,,,,,,,,,,,,FCC + BCC,,Arc Melting,As cast,,,,,,,,,,,,7.1,,,,,,,,,182,,,,,,,,,,,,,,,,
,46,Al0.2CrCuFeNi2,,19.23076923,38.46153846,,3.846153846,19.23076923,,,,,,,,19.23076923,,,,,,,,,,,,,,,,,,,FCC,,Arc Melting,As cast,,,,,,,,,,,,8.0,,,,,,,,,199,,,,,,,,,,,,,,,,
,46,Al0.4CrCuFeNi2,,18.51851852,37.03703704,,7.407407407,18.51851852,,,,,,,,18.51851852,,,,,,,,,,,,,,,,,,,FCC,,Arc Melting,As cast,,,,,,,,,,,,7.8,,,,,,,,,194,,,,,,,,,,,,,,,,
,46,Al0.6CrCuFeNi2,,17.85714286,35.71428571,,10.71428571,17.85714286,,,,,,,,17.85714286,,,,,,,,,,,,,,,,,,,FCC,,Arc Melting,As cast,,,,,,,,,,,,7.5,,,,,,,,,190,,,,,,,,,,,,,,,,
,46,Al0.8CrCuFeNi2,,17.24137931,34.48275862,,13.79310345,17.24137931,,,,,,,,17.24137931,,,,,,,,,,,,,,,,,,,FCC,,Arc Melting,As cast,,,,,,,,,,,,7.3,,,,,,,,,186,,,,,,,,,,,,,,,,
,46,Al1.2CrCuFeNi2,,16.12903226,32.25806452,,19.35483871,16.12903226,,,,,,,,16.12903226,,,,,,,,,,,,,,,,,,,FCC + BCC,,Arc Melting,As cast,,,,,,,,,,,,6.9,,,,,,,,,178,,,,,,,,,,,,,,,,
,47,AlCrCuFeNiTi,,16.66666667,16.66666667,,16.66666667,16.66666667,,,16.66666667,,,,,16.66666667,,,,,,,,,,,,,,,,,,,BCC + Im,,Arc Melting,As cast,,,,,,,,,,,,6.3,,,,C,RT,,1219,1.6,,,UTS from the plot,,,,,,,,,,,,,,
,47,AlCrCuFeNiTi,,16.66666667,16.66666667,,16.66666667,16.66666667,,,16.66666667,,,,,16.66666667,,,,,,,,,,,,,,,,,,,BCC + Im,,Arc Melting,Homogenized,950,4,,,,,,,,,,6.3,,591,RT,,,,,,,,,,,,,,,,,,,,,,
,48,Al22.5Cu20Fe15Ni20Ti22.5,,15,20,,22.5,,,,22.5,,,,,20,,,,,,,,,,,7.15,,,1,-19.8,13.3,1536,,FCC1 + FCC2,,Arc Melting,As cast,,,,,,,,,,,,5.9,,516,"HV0.1, RT",C,RT,980,1326,6.6,145,,,,,,,,,,,,,,,,
,48,Al22.5Cu20Fe15Ni20Ti22.5,,15,20,,22.5,,,,22.5,,,,,20,,,,,,,,,,,7.15,,,1,-19.8,13.3,1536,,FCC1 + FCC2,,Arc Melting,As cast,,,,,Annealing,500,0.5,,,,,5.9,,434,"HV0.1, RT",C,RT,1065,1210,1.8,145,,,,,,,,,,,,,,,,
,48,Al22.5Cu20Fe15Ni20Ti22.5,,15,20,,22.5,,,,22.5,,,,,20,,,,,,,,,,,7.15,,,1,-19.8,13.3,1536,,FCC1 + FCC2,,Arc Melting,As cast,,,,,Annealing,700,0.5,,,,,5.9,,575,"HV0.1, RT",C,RT,989,1490,8.5,145,,,,,,,,,,,,,,,,
,48,Al22.5Cu20Fe15Ni20Ti22.5,,15,20,,22.5,,,,22.5,,,,,20,,,,,,,,,,,7.15,,,1,-19.8,13.3,1536,,FCC1 + FCC2,,Arc Melting,As cast,,,,,Annealing,900,0.5,,,,,5.9,,370,"HV0.1, RT",C,RT,737,1335,8.8,145,,,,,,,,,,,,,,,,
,48,Al20Cu20Fe20Ni20Ti20,,20,20,,20,,,,20,,,,,20,,,,,,,,,,,7,,,1.18,-17.6,13.37,1554,,FCC1 + FCC2,,Arc Melting,As cast,,,,,,,,,,,,6.1,,516,"HV0.1, RT",C,RT,1074,1617,8.2,146,,,,,,,,,,,,,,,,
,48,Al20Cu20Fe20Ni20Ti20,,20,20,,20,,,,20,,,,,20,,,,,,,,,,,7,,,1.18,-17.6,13.37,1554,,FCC1 + FCC2,,Arc Melting,As cast,,,,,Annealing,500,0.5,,,,,6.1,,365,"HV0.1, RT",C,RT,1158,1670,5.8,146,,,,,,,,,,,,,,,,
,48,Al20Cu20Fe20Ni20Ti20,,20,20,,20,,,,20,,,,,20,,,,,,,,,,,7,,,1.18,-17.6,13.37,1554,,FCC1 + FCC2,,Arc Melting,As cast,,,,,Annealing,700,0.5,,,,,6.1,,544,"HV0.1, RT",C,RT,836,1569,13.5,146,,,,,,,,,,,,,,,,
,48,Al20Cu20Fe20Ni20Ti20,,20,20,,20,,,,20,,,,,20,,,,,,,,,,,7,,,1.18,-17.6,13.37,1554,,FCC1 + FCC2,,Arc Melting,As cast,,,,,Annealing,900,0.5,,,,,6.1,,449,"HV0.1, RT",C,RT,697,1247,4.3,146,,,,,,,,,,,,,,,,
,48,Al25Cu25Ni25Ti25,,,25,,25,,,,25,,,,,25,,,,,,,,,,,7.16,,,0.92,-23.25,14.4,1490,,FCC,,Arc Melting,As cast,,,,,,,,,,,,5.7,,537,"HV0.1, RT",C,RT,300,536,0.85,108,,,,,,,,,,,,,,,,
,48,Al25Cu25Ni25Ti25,,,25,,25,,,,25,,,,,25,,,,,,,,,,,7.16,,,0.92,-23.25,14.4,1490,,FCC,,Arc Melting,As cast,,,,,Annealing,500,0.5,,,,,5.7,,521,"HV0.1, RT",C,RT,284,498,0.67,108,,,,,,,,,,,,,,,,
,48,Al25Cu25Ni25Ti25,,,25,,25,,,,25,,,,,25,,,,,,,,,,,7.16,,,0.92,-23.25,14.4,1490,,FCC,,Arc Melting,As cast,,,,,Annealing,700,0.5,,,,,5.7,,518,"HV0.1, RT",C,RT,760,870,0.96,108,,,,,,,,,,,,,,,,
,48,Al25Cu25Ni25Ti25,,,25,,25,,,,25,,,,,25,,,,,,,,,,,7.16,,,0.92,-23.25,14.4,1490,,FCC,,Arc Melting,As cast,,,,,Annealing,900,0.5,,,,,5.7,,416,"HV0.1, RT",C,RT,1103,1263,1.2,108,,,,,,,,,,,,,,,,
